Name,Notes
AAA Number,6200044943841000
ACCOR HERA,FA279710
ACE Hotel Brooklyn Booking Code,Promo Code - WITHTHEBAND
"Bus Parking - Hamburg, Germany","Heiligengeistfeld
Tiergartenstrasse (Radison Blu Hamburg Conference)"
"Bus Parking - Nantes, France","Hôtel BnB Saint Sébastien sur Loire 
Et BnB La Chapelle sur Erdre "
"Bus Parking - Seattle, WA, United States","Edgewater Hotel - On-Site $300/per bus 
DoubleTree by Hilton Seattle Airport - On-Site $200/per bus $50/per trailer
Hilton Seattle Airport & Conference Center - On-Site $200/per bus $50/per trailer

1) 255 S. King St (adjacent to the Embassy Suites Hotel) – up to four buses at one time
Needs at least 24 hours advance notice in order to cone off spaces. $105 + tax.  To book, email Scott at scott@ipmseattle.com
2) 560 S. Lander – up to six buses at one time. Needs at least 24 hours advance notice in order to cone off spaces. 80 + tax. To book, email Scott at scott@ipmseattle.com
3) 2245 1st Ave S – up to six buses at one time. Needs at least 24 hours advance notice in order to cone off spaces. $95 + tax. To book, email Scott at scott@ipmseattle.com"
Delta Airlines Media Bags Email,"media.bags@delta.com // Hello – 
 
We have a client traveling for an upcoming production. Can you please denote the PNR as MEDIA? 
 
PNR
NAMES

Thanks!
"
Hyatt Place London City East,"Corporate Code 175261 - 20% discount | 12.5% commission on individual bookings
15% commission on group bookings, 10 rooms and over
Complimentary early check-in (subject to availability)
Complimentary upgrade to up to 30% of the group"
IATA,05565556
Kimpton Gray Hotel Chicago Discount,Corporate Code 787036284
Kimpton Pittman Hotel Dallas Discount,Corporate Code 786958073
Palihotel Seattle Discount,https://be.synxis.com/?adult=1&arrive=2025-06-13&chain=10634&child=0&currency=USD&depart=2025-06-16&hotel=2434&level=hotel&locale=en-US&productcurrency=USD&promo=entmtc&rooms=1
TACS,HHCTTRAG
United Airlines Entertainment Desk,entertainment@united.com
Unlimited Rewards Number,427135640
